ISBN,ISBN13 (Formatted),Author (SN/FN),Work Author on Cover,Work Cover Title,Work Sub Title,Edition Original Language,Edition Binding,Edition Discount Type,Published Price,Region Pricing: UK (UK),Region Pricing: Europe (EU),Edition Group Titles: Series,Edition Extent,Edition Illustration Details,Edition Format,Pub Date Year,Edition Group Titles: BISAC,Edition Territory,Group Code: BISAC/1,Group Code: BISAC/2,Group Code: BISAC/3,,,,
674990978,9780674990975,"Plutarch, ",Plutarch,"Lives, Volume V",Agesilaus and Pompey. Pelopidas and Marcellus,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,560,Index,4-1/4 x 6-3/8,1917,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674990927,9780674990920,"Dio Cassius, ",Dio Cassius,"Roman History, Volume VI",Books 51-55,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,512,Index,4-1/4 x 6-3/8,1917,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
674990919,9780674990913,"Dio Cassius, ",Dio Cassius,"Roman History, Volume V",Books 46-50,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,544,Index,4-1/4 x 6-3/8,1917,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
674990757,9780674990753,,W. R. Paton,"The Greek Anthology, Volume II: Book 7: Sepulchral Epigrams. Book 8: The Epigrams of St. Gregory the Theologian",,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,528,Indexes,4-1/4 x 6-3/8,1917,"LITERARY COLLECTIONS / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece",World,LCO003000,LIT004190,HIS002010,,,,
674990951,9780674990951,,W. R. Paton,"The Greek Anthology, Volume V: Book 13: Epigrams in Various Metres. Book 14: Arithmetical Problems, Riddles, Oracles. Book 15: Miscellanea. Book 16: Epigrams of the Planudean Anthology Not in the Palatine Manuscript",,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,416,"81 line illustrations, indexes",4-1/4 x 6-3/8,1918,"LITERARY COLLECTIONS / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece",World,LCO003000,LIT004190,HIS002010,,,,
674990943,9780674990944,,W. R. Paton,"The Greek Anthology, Volume IV: Book 10: The Hortatory and Admonitory Epigrams. Book 11: The Convivial and Satirical Epigrams. Book 12: Strato's Musa Puerilis",,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,432,Indexes,4-1/4 x 6-3/8,1918,"LITERARY COLLECTIONS / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece",World,LCO003000,LIT004190,HIS002010,,,,
674991044,9780674991040,"Pausanias, ",Pausanias,"Description of Greece, Volume I",Books 1-2 (Attica and Corinth),"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,none,4-1/4 x 6-3/8,1918,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674991095,9780674991095,"Plutarch, ",Plutarch,"Lives, Volume VI",Dion and Brutus. Timoleon and Aemilius Paulus,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,Index,4-1/4 x 6-3/8,1918,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674990986,9780674990982,"Xenophon, ",Xenophon,"Hellenica, Volume I",Books 1-4,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,400,none,4-1/4 x 6-3/8,1918,"PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,PHI002000,HIS002010,LIT004190,,,,
674991249,9780674991248,"Fronto, ",Fronto,"Correspondence, Volume I",,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,368,none,4-1/4 x 6-3/8,1919,LITERARY CRITICISM / Ancient & Classical,World,LIT004190,,,,,,
674991036,9780674991033,"Clement of Alexandria, ",Clement of Alexandria,The Exhortation to the Greeks. The Rich Man's Salvation. To the Newly Baptized,,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,432,Index,4-1/4 x 6-3/8,1919,"PHILOSOPHY / History & Surveys / Ancient & Classical,RELIGION / Christianity / History,LITERARY CRITICISM / Ancient & Classical",World,PHI002000,REL015000,LIT004190,,,,
674991109,9780674991101,"Plutarch, ",Plutarch,"Lives, Volume VII",Demosthenes and Cicero. Alexander and Caesar,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,640,Index,4-1/4 x 6-3/8,1919,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674991206,9780674991200,"Thucydides, ",Thucydides,"History of the Peloponnesian War, Volume I",Books 1-2,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,3 maps,4-1/4 x 6-3/8,1919,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674991265,9780674991262,"Livy, ",Livy,"History of Rome, Volume I",Books 1-2,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,"2 maps, index",4-1/4 x 6-3/8,1919,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
674991079,9780674991071,"Ausonius, ",Ausonius,"Ausonius, Volume 1: Books 1-17",,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,448,"1 map, 3 line illustrations, 1 table on insert",4-1/4 x 6-3/8,1919,"PHILOSOPHY / History & Surveys / Ancient & Classical,RELIGION / Christianity / History,LITERARY CRITICISM / Ancient & Classical",World,PHI002000,REL015000,LIT004190,,,,
674995619,9780674995611,"Homer, ",Homer,"Odyssey, Volume I",Books 1-12,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,none,4-1/4 x 6-3/8,1919,"LITERARY CRITICISM / Ancient & Classical,LITERARY CRITICISM / Poetry,HISTORY / Ancient / Greece",World,LIT004190,LIT014000,HIS002010,,,,
674995627,9780674995628,"Homer, ",Homer,"Odyssey, Volume II",Books 13-24,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,480,Index,4-1/4 x 6-3/8,1919,"LITERARY CRITICISM / Ancient & Classical,LITERARY CRITICISM / Poetry,HISTORY / Ancient / Greece",World,LIT004190,LIT014000,HIS002010,,,,
674991117,9780674991118,"Plutarch, ",Plutarch,"Lives, Volume VIII",Sertorius and Eumenes. Phocion and Cato the Younger,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,432,Index,4-1/4 x 6-3/8,1919,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674991184,9780674991187,"Aeschines, ",Aeschines,Speeches,,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,560,Index,4-1/4 x 6-3/8,1919,LITERARY CRITICISM / Ancient & Classical,World,LIT004190,,,,,,
674991214,9780674991217,"Thucydides, ",Thucydides,"History of the Peloponnesian War, Volume II",Books 3-4,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,464,2 maps on inserts,4-1/4 x 6-3/8,1920,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674991257,9780674991255,"Fronto, ",Fronto,"Correspondence, Volume II",,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,384,Indexes,4-1/4 x 6-3/8,1920,LITERARY CRITICISM / Ancient & Classical,World,LIT004190,,,,,,
674991125,9780674991125,"Plutarch, ",Plutarch,"Lives, Volume IX",Demetrius and Antony. Pyrrhus and Gaius Marius,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,640,Index,4-1/4 x 6-3/8,1920,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674991303,9780674991309,"Herodotus, ",Herodotus,"The Persian Wars, Volume I",Books 1-2,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,528,"1 map, index",4-1/4 x 6-3/8,1920,"HISTORY / Ancient / Greece,HISTORY / Ancient / General,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,HIS002000,LIT004190,,,,
674990854,9780674990852,"Seneca, ",Seneca,"Epistles, Volume II",Epistles 66-92,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,Index,4-1/4 x 6-3/8,1920,"PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical",World,PHI002000,LIT004190,,,,,
674991222,9780674991224,"Thucydides, ",Thucydides,"History of the Peloponnesian War, Volume III",Books 5-6,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,400,4 maps,4-1/4 x 6-3/8,1921,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674991354,9780674991354,"Apollodorus, ",Apollodorus,"The Library, Volume I",Books 1-3.9,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,464,none,4-1/4 x 6-3/8,1921,"LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece",World,LIT004190,HIS002010,,,,,
674991435,9780674991439,"Callimachus, ,Lycophron, ,Aratus, ","Callimachus, Lycophron, and Aratus",Hymns and Epigrams. Lycophron: Alexandra. Aratus: Phaenomena,,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,"2 star maps, index",4-1/4 x 6-3/8,1921,"POETRY / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical",World,POE008000,LIT004190,,,,,
674991443,9780674991446,"Lucian, ",Lucian,The Dead Come to Life or The Fisherman. The Double Indictment or Trials by Jury. On Sacrifices. The Ignorant Book Collector. The Dream or Lucian's Career. The Parasite. The Lover of Lies. The Judgement of the Goddesses. On Salaried Posts in Great Houses,,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,Index,4-1/4 x 6-3/8,1921,LITERARY CRITICISM / Ancient & Classical,World,LIT004190,,,,,,
674991311,9780674991316,"Herodotus, ",Herodotus,"The Persian Wars, Volume II",Books 3-4,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,448,"2 maps, index",4-1/4 x 6-3/8,1921,"HISTORY / Ancient / Greece,HISTORY / Ancient / General,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,HIS002000,LIT004190,,,,
674991362,9780674991361,"Apollodorus, ",Apollodorus,"The Library, Volume II",Book 3.10-end. Epitome,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,560,none,4-1/4 x 6-3/8,1921,"LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece",World,LIT004190,HIS002010,,,,,
674991540,9780674991545,,David Magie,"Historia Augusta, Volume I: Hadrian. Aelius. Antoninus Pius. Marcus Aurelius. L. Verus. Avidius Cassius. Commodus. Pertinax. Didius Julianus. Septimius Severus. Pescennius Niger. Clodius Albinus",,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,544,none,4-1/4 x 6-3/8,1921,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
674991273,9780674991279,"Ausonius, ,Paulinus Pellaeus, ",Ausonius and Paulinus Pellaeus,"Ausonius, Volume II: Books 18-20. Paulinus Pellaeus: Eucharisticus",,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,384,Index,4-1/4 x 6-3/8,1921,"PHILOSOPHY / History & Surveys / Ancient & Classical,RELIGION / Christianity / History,LITERARY CRITICISM / Ancient & Classical",World,PHI002000,REL015000,LIT004190,,,,
